,기업명,채용공고,경력,위치
112,오엠티아이코리아,[신입] ASP.NET 개발자,신입,서울 서초구
113,알스퀘어,[1100억↑투자] 파이썬 백엔드 서버 개발자 (7년 이상),경력 7-15년,서울 강남구
114,아파트아이,JAVA 백엔드 개발자(대리급),경력 5-10년,서울 금천구
115,스펙트라,시니어 프론트엔드 엔지니어,경력 7-14년,서울 서초구
116,리젠부스터,백엔드 개발자,경력 3-5년,서울 강남구
117,플랫포스,풀스택 5년 이상,경력 5-6년,서울 종로구
118,아주큐엠에스,Java 개발,경력 6-12년,서울 서초구
119,투와이(인버즈),"개발 리더 (풀스택, 8년 이상)",경력 8-10년,서울 서초구
120,에버엑스,AI 리서치 엔지니어,경력 2-9년,서울 서초구
121,디플래닉스(Dplanex),Data Scientist (10년 이상),경력 10-15년,서울 서초구
122,알티엠,Senior Data Scientist (이미지 데이터)_5년 이상,경력 5-12년,서울 강남구
123,울랄라랩,산업데이터 플랫폼 JAVA 개발자 (5년 이상),경력 5-10년,경기 
124,에프앤유신용정보(F&U신용정보),IT AICC 개발자 (5년이상),경력 5-12년,서울 마포구
125,아르고스아이덴티티코리아,프론트엔드 개발자 (팀장급),경력 7-15년,서울 강남구
126,파더스랩,프론트엔드 개발자(5년이상),경력 5-10년,서울 강남구
127,아보엠디코리아,풀스택 웹 엔지니어 (3년 이상),경력 3-6년,서울 강남구
128,웨이센(waycenInc.),Medical AI Research Engineer(Senior),경력 5-15년,서울 강남구
129,딥세일즈,프론트엔드 개발자 /5년 이상,경력 5-10년,서울 강남구
130,모멘티,프론트엔드 개발자 (5~10년),경력 5-10년,서울 강남구
131,리얼드로우,AI Researcher (이미지 생성 모델링) 리더급,경력 10-20년,서울 마포구
132,포자랩스,인공지능 오디오 생성 개발자,신입,서울 강남구
133,펑타이그레이터차이나(피티코리아),스크립터,경력 5-10년,서울 서초구
134,엔젤스윙,Engineering Team Lead,경력 8-18년,서울 서초구
135,에스케이일렉링크,DA/DS 분석가,경력 5-10년,서울 송파구
136,아이포트폴리오,SW 개발 조직 리더(팀장급),경력 5-20년,서울 중구
137,한국그린데이터,Data Scientist (3년~),경력 3-7년,서울 서초구
138,테스트웍스,"웹/플랫폼 개발자(Frontend , React)",경력 4-13년,서울 송파구
139,네오소닉스,asp 및 .net 웹 개발자(6년 이상),경력 6-7년,서울 금천구
140,에이펙스이에스씨,S/W(소프트웨어) 개발,경력 4-8년,서울 강남구
141,엔닷라이트,웹 서비스 백엔드 개발자 (6년 이상),경력 6-15년,경기 성남시
142,셀키,AI Data Scientist,경력 3-10년,서울 서초구
143,휴톰,백엔드 개발자(3년 이상),경력 3-20년,서울 마포구
144,카테노이드,Technical Account Manager(TAM),경력 7-15년,서울 강남구
145,룰루메딕,FrontEnd 개발(5년 이상),경력 5-7년,서울 강남구
146,바이브컴퍼니,API 운영 개발자,경력 5-10년,서울 용산구
147,테크빌교육,JAVA 웹 개발,경력 5-7년,서울 강남구
148,플랜잇스퀘어,DW Engineer / 병원정보시스템 개발자,경력 2-6년,서울 강남구
149,태경엠텍,데이터 수집 서버 개발자,경력 1-10년,경기 광명시
150,알티올,물류자동화 설비 시스템 CS(유지보수),경력 8-15년,인천 연수구
151,누리랩,응용개발자 및 악성코드 분석가,경력 2-5년,서울 영등포구
152,다이얼로그디자인에이전시,풀스택 소프트웨어 엔지니어 (5년 이상 리더급),경력 5-7년,서울 송파구
153,유에이치씨,AI / 딥러닝 개발자,경력 3-10년,서울 강남구
154,브레인즈컴퍼니,솔루션 개발자 (10년 이상),경력 10-20년,서울 성동구
155,포바이포,영상화질개선 기술개발,경력 2-6년,서울 강남구
156,웰로,백엔드 시니어 개발자 (5년~8년 이하),경력 5-8년,서울 관악구
157,셰어라운드,프론트엔드 개발자,경력 5-10년,서울 종로구
158,딥세일즈,"백엔드 개발자 Node.js, Python/5년 이상",경력 5-10년,서울 강남구
159,디랩스,블록체인 개발자,경력 3-10년,서울 강남구
160,레전더리홀딩스,윈골드 서비스 웹 개발자,경력 5-10년,서울 강남구
161,비스텔리젼스,Senior Applicatin Engineer,경력 5-15년,서울 서초구
162,원프레딕트(onepredict),Data Scientist,경력 2-5년,서울 강남구
163,제로엑스플로우,Frontend Engineer(4년 이상),경력 4-10년,서울 마포구
164,스매시,리액트 네이티브 FE 개발자,경력 4-8년,서울 강남구
165,플래티어,[그루비 SaaS 솔루션] 데이터사이언티스트,경력 1-6년,서울 송파구
166,아이쉴드,풀스택 개발자,경력 4-5년,서울 강남구
167,플라잎,Computer Vision Engineer(전문연구요원 가능),경력 3-5년,경기 성남시
168,이쿠얼키(인공지능수학 깨봉),Senior Backend Engineer(7년 이상),경력 7-10년,서울 강남구
169,덴컴,AI 응용 프로그램 개발 풀스택 개발자,경력 5-10년,서울 강남구
170,긴트,[200억↑투자] 프론트엔드 개발자,경력 4-8년,경기 성남시
171,오토위니,JAVA 개발자 (5년 이상),경력 5-15년,서울 강남구
172,코딧(CODITCorp.),웹 크롤링(스크래핑) 개발자 (3년 이상),경력 3-20년,서울 강남구
173,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP) (병역특례한정)",경력 2-7년,서울 금천구
174,에이젠글로벌,ML Engineer,경력 3-5년,서울 영등포구
175,폴라리스오피스,LLMOps (1년 이상),경력 1-10년,서울 구로구
176,피어테크(지닥),백엔드 개발자(펀드서비스 담당),경력 3-5년,서울 강남구
